"site_id","notes"
138,"Entity M1-2 (entity_id = 481): Originally published in Burns et al., 2003. Chronology was updated in Burns et al., 2004 (10.1126/science.305.5690.1567a), then by A. Mangini (unpublished) and then refined by H. Cheng (unpublished). Age model supplied here is the most recent and deemed the best age model but not the published age model. \\ Entity M1-5 (entity_id = 293): There is a hiatus during most of the Holocene (between depths of 60mm and 88mm). The sampling for isotopic data starts at depths > 88mm."
140,"Entity SB23, SB24, SB34 and TF (entity_id = 486, 487, 491, 494): There are small changes of growth between U/Th dates; the cause is unknown."
141,"Vegetation: Deciduous trees (oak, beech, elms) and shrubs; Cover: thin, estimated maximum depth of 30cm; approximately 40m depth of drip site resulting in a fast response (days to weeks) of cave drip rates. \\ Entity So-2 (entity_id = 456): There are 26 sets of samples with repeated interp_age (different sample depths)."
142,"TM-18a (entity_id = 308) and TM-18b (entity_id = 309) correspond to two jointed stalagmites."
145,"CC-5_2009 (entity_id = 317) is a resampled series from CC-5_2005 (entity_id = 314). CC-1_2009 (entity_id = 316) is a resampled series from CC-1_2005 (entity_id = 313). CC-1_2004, CC-1_2009, CC1_2018 (entity_id=313, 316, 665), CC-5_2005, CC-5_2009, CC5_2018 (entity_id=314, 317, 666), CC-7_2009, CC7_2018 (entity_id=318, 667) and CC-28_2007, CC28_2018 (entity_id=315, 668) were collected from a single chamber between 1999 and 2005. \\ Geology: Mixed - marbles, dolomitic marbles and dolomites. Rock age: Mesozoic. Land use: Forest and various anthropogenic activities. Drip height is estimated. \\ CD3-1_HR (entity_id = 695): High resolution SHRIMP d18O analysis. Original trace element data in ppm. Conversion to TE/Ca made by (Mg/24.31)/(389000/40.08). Age-depth model: finite-positive-growth-rate method. 3-point smoothening of Mg/Ca data for the high resolution (HR) entity. Original work does not provide depths for the high resolution stable isotopes and trace element data; it provides 'distances. Thus, following Drysdale's instructions, depths (in sample data sheet) have been obtained by adding 24mm to distances'."
146,"Entity SSC01, SCH02 (entity_id = 319, 320): Both entities are assumed to be actively growing when collected and the date of collection is assumed to be 2000CE."
148,"Buffalo Cave Flowstone (entity_id = 323): Dating is based on faunal correlation, palaeomagnetic reversals and orbital tuning. The dates provided are tie-points used in the orbital tuning."
149,"Entity DM05-01 (entity_id = 444): Year of chemistry not certain; assumed to be 2006CE. Year of collection estimated to be 2005+/-1 CE. Age model data is not available in the publication and only shown in the figure (all dates were used)."
150,"Entity ED1 (entity_id = 325): Uncorrected U-Th dates were used in original publication age-model. Corrected ages have been recalculated by Petra Bajo and John Hellstrom. It was not possible to recover the uncertainties on 232/238 ratio so this uncertainty is estimated to be 1% of the 232/238 ratio value."
151,"Entity GT05-5 (entity_id = 326): no age model in original publication. This update is based on COPRA (Breitenbach et al., 2012) using a PCH spline. Actively growing event in 2006CE assumed based on thesis publication and field work dates."
152,"Entity H5 (entity_id = 327): Age model from Fleitmann et al., 2007 - supersedes Neff 2001 - supersedes Burns 1998. Entity H14 (entity_id = 415): There were two d18O measurements (-4.33 and -4.61) at depth = 154.7; these were averaged. Age model for entity H14 is established using both 230Th dating (absolute age) and annual growth band counting (relative age)."
153,"Entity JHU-1 (entity_id = 328) is characterized by sub-mm length visible light-dark laminations, which were inferred to be annual in nature. This is supported by 330Th dates and the strong coherence with the absolute-dated DAN-D d18O profile (entity_id = 278)."
155,"Vegetation: Eucalyptus savanna. \\ KNI-51-0 (entity_id = 331), KNI-51-3 (entity_id = 332), KNI-51-4 (entity_id = 333), KNI-51-7 (entity_id = 334), KNI-51-10 (entity_id = 335), KNI-51-11 (entity_id = 336), KNI-51-A2-side1 (entity_id = 337), KNI-51-A2-side2 (entity_id = 338), KNI-51-C (entity_id = 339), KNI-51-F (entity_id = 340), KNI-51-G (entity_id = 341), KNI-51-H (entity_id = 342), KNI-51-I (entity_id = 343), KNI-51-J (entity_id = 344), KNI-51-N (entity_id = 345), KNI-51-O (entity_id = 346), KNI-51-A1 (entity_id = 418) and KNI-51-P (entity_id = 419): all samples have been corrected by -1 permil to be a calcite equivalent. In the original paper, entity KN51-10 was arbitrarily offset by -1 permil to match other records; this offset has been removed. \\ 234U/238U values for KNI-51-1 (entity_id = 637) and KNI-51-8 (entity_id = 638) are derived from d234U."
156,"Vegetation: Thorny shrubs and herbaceous plants with some smaller trees. \\ Entity S1 (entity_id = 347) had two isotope values (d18O and d13C) at depth_sample = 29mm; these were averaged, d18O = -4.7938 & -4.4950 and d13C = -8.7769 & -7.7970."
160,"Dating_thickness, lab_num, material_dated, min_weight and max_weight in entity_id 352 and 353 are approximated from standard practices at the GSI lab (i.e. these aren't exact measurements). Entity 353 (2N-HR): Avoid using isotope samples between sample_depths 105.1 and 107.95 mm for studies interested in resolutions lower than 100yrs. The age/depth profile in this section was problematic possibly due to several parallel inter-annual measurements. Original publication for entity_id 352 and 353 does not mention the existence of hiatuses. Soreq-Composite185 (entity_id = 690): First 140kyr from Bar-Matthews et al., 2000 (10.1016/S0009-2541(99)00232-6). Entities which make the Soreq_Composite185 (entity_id=690) = '1-1','2-6','2Z','2-8','1-4','2N','7-2','1-2','8-4','10-12','11-2','2-10','9','3','1-1','3-35','2-5','MN-5','2-22'. These are not available in SISAL"
161,"Entity Aurora 3 (entity_id = 355): the age model in the original study was linear interpolation between TIMS ages. This update is based on COPRA (Breitenbach et al., 2012) using a PCH spline."
162,"Entity Calcite (entity_id = 356): the age model in the original study was linear interpolation between TIMS ages. This update is based on COPRA (Breitenbach et al., 2012) using a PCH spline."
163,"Vegetation and land use: Podocarp-hardwood evergreen forest formerly covered the area but much has been cleared in the last 100 years. \\ Elevations between 60-120m altitude are given in publications for speleothems in site_id=163. Entity GG1 (entity_id = 357) and GG2 (entity_id = 358) do not have age models in original publication. This update is based on COPRA (Breitenbach et al., 2012) using a PCH spline. GG1 (entity_id = 357): The basal TIMS date (9104 ka) has a large error because of detrital thorium and so is statistically indistinguishable from the next youngest date (9163 ka), which has a small 2-sigma error. In order to avoid an apparent age reversal, the basal date was therefore assigned a value of 9721 ka."
164,"Vegetation and land use: Podocarp-hardwood evergreen forest formerly covered the area but much has been cleared in the last 100 years.\\ Entity MAXS (entity_id = 359) does not have age model in original publication. This update is based on COPRA (Breitenbach et al., 2012) using a PCH spline. Age at 215 mm depth (dating_id= 11840) used to create interp_age is that published in Williams et al., 2004, which differs from other publications. Exact year of chemistry unknown, but is sometime between 2001-2004. plus/minus 4 years have been subsequently added to interp_age uncertainty."
165,"Vegetation and land use: Evergreen but mostly cleared over the last 100 years. \\ Entity RK05-1, RK05-3 and RK05-4 (entity_id = 676, 677, 678): Year when the U/Th chemistry was performed assumed to be 2006 based on dates of thesis publication and field work (would not be earlier than 2005). Entity RK-C, RK-A, RK-B, RK05-1, RK05-3 and RK05-4 (entity_id = 360, 674, 675, 676, 677, 678): Age model in original study was linear interpolation between TIMS ages; this update is based on COPRA (Breitenbach et al., 2012) using a PCH spline."
167,"Geology: Limestone interbedded with sand and pebble layers. \\ Entity Waiau (entity_id = 363) does not have age model in original publication. The sisal_chronologies for this entity were run manually."
168,"Vegetation: Rainforest dominated by podocarp and hardwood-broadleaf species last 100 years. Rock age: Tertiary. \\ Entity WP-1 (entity_id = 364) does not have an age model in the original publication. This update is based on COPRA (Breitenbach et al., 2012) using a PCH spline. This site covers a range of elevations. Here we use 95masl as in Whittaker, 2008."
169,"Entity Doubtful Xanadu (entity_id = 365): the age model in the original study was linear interpolation between TIMS ages. This update is based on COPRA (Breitenbach et al., 2012) using a PCH spline."
170,"Vegetation: Mix of trees and shrubs. \\ Entity S3 (entity_id = 366) is a layer counted stalagmite. The U/Th ages provide evidence of the legitimacy of the layer counting, but are not used in the actual age model. Laminae data not available."
171,"DH samples (entity_id = 373, 374, 375, 376) are mammillary calcite (a subaqueous speleothem). Folia layers are not included in the d18O time series as they cannot be dated. DH2-E Terminal2 (entity_id = 376): There is a folia layer between 47.4 and 57.9 mm (Folia layers are not hiatuses as such, but a change in fabric). DH2-D (entity_id = 374): There are folia layers between 61 and 80.7 mm. DH2-D (entity_id = 374) has the most reliable chronology. The other records have chronologies that are in part inaccurate because of excess 230-Th issues. Authors do not advise the use of DH2-E (entity_id = 375, 376) and DH2 (entity_id = 373) for palaeoclimate work. Please read the manuscript before using this record. Another record of water depth at Devils hole can be found at: Wendt, K.A., Dublyansky, Y., Moseley, G.E., Cheng. H., Edwards, R.L., Spötl, C. (2018) Moisture availability in the SW United States over the last three glacial-interglacial cycles. Science Advances, 4 (10) eaau1375, 10.1126/sciadv.aau1375."
173,"PDR-1 (entity_id = 378): The latitude and longitude is only available to the nearest degree."
174,"Vegetation: Flora above the cave is mostly composed of weeds and bushes. But the natural vegetation in this area is more complicated, characterized by a vertical distribution, including the Alpine shrub meadow, broadleaved deciduous/evergreen forest and coniferous forest. Geology, rock age and cover: It is overlain by approximately 30-40 m of Triassic limestone bedrock with a thin soil cover. \\ The age model for ZLP1 (entity_id = 379) and ZLP2 (entity_id = 370) has been developed by combining the precise dating of other cave records with layer counting at ZLP."
177,"Vegetation: Trees, palms and ferns. \\ CMa (entity_id = 609) and CMb (entity_id = 610) are two small side stalagmites of CM (entity_id = 608, 388). Agemodel of CMa (entity_id = 609) tuned to the agemodel of CM_2019 (entity_id = 608) via the best correlation of the oxygen isotope records. The given uncertainties are the maximum uncertainties derived by the initial stalage age model."
179,"Entity C09-2 (entity_id = 390): Due to the way the age model was constructed (see Warken et al., 2018), lamina counting chronology (dating_lamina) with exact depth, year and uncertainty cannot be provided. The author recommend using the original age model. Bchron (the age model used here) models a short growth slow down at the position of each dating point; this is an artefact from the age model software used and there are no real hiatuses. Mg/Ca is downsampled to annual mean values. An observed seasonal variability of Sr/Ca was sued to manually count chemical lamina to establish a precise age model. The increase in 14C activity is interpreted as the start of the mid-20th century atmospheric bomb peak recorded by the stalagmite. This sets the reference point to the year AD 1955 at 3.2 mm depth from top. Counting of chemical lamina was repeated ten times by different investigators. Each series was anchored to the reference point of the year AD 1955. The distribution of the resulting chronologies allows to assess the uncertainty of lamina counting as standard deviations (sd in dft) of the ensemble and the calculation of the mean age model. We incorporated the age uncertainties in the proxy signal using ensembles of age models, similar to the approach of Dee et al. (2015). Therefore a single lamina counting chronology with exact depth, year and corresponding time uncertainty cannot be provided. Authors recommend using the provided age model for the proxies instead. The final age model is divided into two parts. In the upper 47 mm, the combination of lamina counting and radiocarbon dating provides a precise age model (uncertainty ± 3 years) for the period from AD 1759 to 1973, which is in agreement within error with the uppermost 230Th/U-age (AD 1832 ± 29 at 35 mm depth from top). Below, the age model is constructed based on the 230Th/U-ages using Bchron."
180,"Entity CH-1 (entity_id = 391): This site's elevation has been extracted from the 'NOAA NGDC GLOBE topo Digital Elevation Model: http://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NGDC/.GLOBE/topo/. \\ Vegetation: Tropical woodland in national park.\\ Entity CH-1 (entity_id = 391): No depth measurements available due to data collection technique (see Haig et al., 2014). "
181,"Entity 10FC-02 and 05FC-04 (entity_id = 392, 393): U234/U238 activity ratios were converted from d234U (see Maupin et al., 2014 for methods). Decay constants are: 230Th = 9.1577 e-6 yr-1, and 238U = Jeffey et al., 1971. \\ Entity 05FC-04 (entity_id = 393) is not actively growing when collected."
182,"Entity NK (entity_id = 394): data_DOI_URL and publication_DOI is the DOI of the review paper preprint version."
183,"Entity CP (entity_id = 395): U/Th dates below 240mm are not used because of calcite/aragonite recrystallisation effects."
184,"Rock age: Tertiary. Vegetation: Acacia shrubs, sparse Eucalyptus and hummock grasslands. \\ Entity CR-1 (entity_id = 396): No depth measurements available due to data collection technique (see Haig et al., 2014)."
185,"Entity EXC4 and EXC5 (entity_id = 397, 398): Majority of dating samples were analysed using MC-ICP-MS while some others were analysed using single collector ICP-MS (publication did not specify which ones). U234/U238 activity ratios were converted from d234U (see Toth et al., 2015 for methods; DOI: 10.1038/NCLIMATE2541). Decay constants follows Cheng et al. 2008. The interp_age_uncert_pos and interp_age_uncert_neg are average uncertainties over the entire speleothem."
188,"Vegetation: Moist broadleaf forest (rainforest). \\ Entity CH-7 (entity_id = 403): There is a human bone at 95mm, U/Th dates below 72mm are affected by remineralisation processes. A continuous growth rate is assumed below the last unaffected U/Th date."
190,"Entity CWC-1s, CWC-2ss and CWC-3l (entity_id = 405, 406, 407): d18O data originally provided relative to SMOW. Converted to PDB to match d13C data using equation from Allan and Wiggins (1993) (DOI: 10.1306/CE36576). Analytical precision for isotope data is better than 0.05 permil."
191,"Vegetation: Mixture of oak, hickory forest and restored prairie/savanna. Cover type: 0.5–1 m thick silty clay loam. \\ Entity DIB-1 and DIB-2 (entity_id = 408, 409): Isotope precision is better than 0.1 permil. Decay constants are: 230Th = 9.1577 e-6 yr-1, 232Th = 4.9475 e-11 yr-1, 234U = 2.8263 e-6 yr-1, 238U = 1.5513 e-10 yr-1."
195,"Entity HC-1 (entity_id = 414): Published age model was only available in a figure. Age model was re-calculated following methods in Mangini et al. (2007). Depths of isotopes were originally given in distance from base but were converted to distance from top with base = 745mm."
196,"Entity K1 (entity_id = 416): Decay constants are: 230Th = 9.15771 e-6 yr-1, 232Th = 4.9475 e-11 yr-1, 234U = 2.82629 e-6 yr-1, 238U = 1.55125 e-10 yr-1."
197,"Entity KC1 (entity_id = 417): Majority of dating samples were analysed using MC-ICP-MS while some others were analysed using single collector ICP-MS (publication did not specify which ones). U234/U238 activity ratios were converted from d234U (see Toth et al., 2015 for methods; DOI: 10.1038/NCLIMATE2541). Decay constants follows Cheng et al. 2008. The interp_age_uncert_pos and interp_age_uncert_neg are average uncertainties over the entire speleothem."
198,"Entity LH-2 (entity_id = 496): The original age model has age inversions at depths: 746.8 and 748.0 mm. The interp_age at depth 748.0 mm was altered to be the average of the two neighbouring samples."
199,"Vegetation: Wet sclerophyll forest. \\ Entity Lynds BCD (entity_id = 421): Half lives are: 234U = 244600 yr, 230Th = 75380 yr."
200,"Entity MC08-1 (entity_id = 422): Analytical precision of isotope is better than 0.1 per mil. Three hiatuses are present at ~28, 31 and 112 mm from visual identification from figures."
201,"Entity MND-S1 (entity_id = 423): Date marked as other is constrained by the construction date of the boardwalk on which the stalagmite grew on. Original chronology constructed by counting trace elements cycles. Each year's depth anchored using Ba values. Isotope anchored to an annually resolved laminae chronology (see Treble et al, 2003). Author suggested to increase the uncertainties to +/- 2.5 years. Stable isotope data were published in Treble et al 2005. Trace element data were published in Treble et al 2003 and Nagra et al 2017. The stable isotope data and the trace elements were measured on different transects in MND-S1 and therefore have different transect lengths. The age-depth model is based on the trace elements for both datasets."
204,"Although Publication supplied precision of d18O as 0.06 permil, this has been entered as 0.07 permil for both d13C and d18O as following Breitenbach and Bernasconi (2011) (DOI: 10.1002/rcm.5052). Decay constants could either be Cheng et al. 2000 or Cheng et al. 2013. The age model for the speleothem is based on a parabolic curve fit to the 230Th dates and the collection date. There are 15 repeated interp_age which were adjusted by 0.0001."
208,"Geology: Carbonate host rocks. \\ Entity TA12-2 (entity_id = 436): Depths below the hiatus at 440mm are estimated. More details in the paper. d13C must be treated with caution because of a lack of significant testing on the aragonite-calcite correction by original authors. Some samples' mineralogy (sample_id= 282113, 282368, 282369, 282370, 282371, 282899, 282900, 282901, 282902, 282903, 282904, 282905) has been assumed to be aragonite (the primary fabric) in the absence of a definite mineralogy."
210,"Entity WMC1 (entity_id = 438) Sr isotopes standard: NBS987. Ca isotope measurements available in NOAA. Sr isotopes given at stable isotope equivalent depths in the database. For precise Sr isotope depths, see trace elements datafile."
213,"Land use and cover: Mixed forest and pastures from human activity, these are secondary grasslands, while during the growth of the stalagmite (MIS 3) there were at best mountain grasslands durign stadials or forests during interstadial.\\ Entity 1152 (entity_id = 457): material_dated in dating table is determined as other and mineralogy in the sample table is mixed because the entity has a mixed aragonite-calcite mineralogy.s."
214,"Rock_age: Middle Cenozoic. Vegetation: Plant types (generally C4) are largely tussock grass (Triodia), with lesser amounts of Acacia, Eucalyptus, and Banksia. \\ Entity C126-117 and C126-118 (entity_id = 458, 459): d13C_precision and d18O_precision are better than 0.1 permil at 1 sigma range."
217,"Entity EM1 (entity_id = 463): Laminae counting is based on confocal imaging. Elevated detrital 232Th levels of 2-4 x 10^3 ppt resulted in large dating uncertainties between 172-438 years for 230Th dates and hinder precise age model. The age model can only be used as a reference. The chronology is based on lamina counting."
218,"Vegetation: Secondary forests, shrubs and C3 plants.\\ Entity NH6 and NH33 (entity_id = 465, 466): Depth information is not available."
219,"Geology: Limestones and interbedded dolostones. Vegetation: Secondary forests, shrubs and C3 plants. \\ SN_composite (entity_id = 726) is made of SN29 (entity_id = 725) and SN35 (entity_id = 723) after correcting SN35 d18O values by -1 per mille. Minerlogy given as mixed for composite. Individual speleothems have more detailed mineralogy information."
220,"Entity BN-1 (entity_id = 468): Depths for U/Th dates are not available."
221,"Land use: Tortoise park."
223,"Entity WXSM-51, WXSM-52 (entity_id = 679, 680): Age corrections were made assuming that initial U and Th were derived from crustal silicates with a 232Th/238U= 1.2 +/- 0.6, 234U/238U = 1.0 +/- 0.1, and 230Th/238U= 1.0 +/- 0.1."
225,"Vegetation: Tropical dry forest. \\ Boto 1, Boto 3 Boto 7 (entity_id = 497, 498, 499): Age model type is linear interpolation + iscam. This age-depth modeling software uses a Monte-Carlo approach on absolute age determinations to find the best correlation between climate proxies of several signals reproducing adjacent archives."
227,"According to Paul S. Wilcox, the offset between U/Th dates and isotope ages in the upper part of EC-16-5-F (entity_id = 505) is an artefact of Oxcal."
228,"Initial 230Th/232Th ratios in BC-11 (entity_id = 506) were corrected using an empirical relationship between Th concentration and initial 230Th/232Th ratios. See publication for details. Weighted average U/Th ages at the same depth were used for the age-depth model of entity_id = 506. BC-11 (entity_id = 506) has apparent continuous annual banding, with all dates (except 2) falling within the band-counted age model. Laminae depths not provided. Depth_lam in BC-11 (entity_id = 506) were calculated from cumulative sum of laminae thicknesses, which results in a slight offset between depth_lam and depth_sample. Error of laminae thickness measurements given as ± 10%. Depth of date_type='event; start of laminations in BC-11 (entity_id = 506) was assumed from cumulative laminae thickness and its error assumed to be 0."
229,"Vegetation: Mature subtropical moist semi-evergreen broadleaf forest. \\ ATM-7 (entity_id = 507): Differences in precision between stable isotope depths (depth_sample) reported to +/- 5 microns (based on the micromilling system) and lamina midpoint depths (depth_lam) reported to +/- 100 microns (based on microsampling and microscopy) result in offsets that are well within the age model error."
232,"Rio Secreto cave (site_id = 232) coordinates are inexact (nearby village). The Holocene part of Itzamna (entity_id = 510) was published in Medina-Elizalde et al. (2016) and its age-depth model is based on 'a piecewise-linear model to account for an apparent slight non-linearity in stalagmite growth between sample_depth 57 and 86 mm . The glacial part of Itzamna (entity_id = 510) was published in Medina-Elizalde et al. (2017)."
233,"Age model of KR1 (entity_id = 511) differs from original publication by 0-33 years and reports the mean of the individual ages per depth. The AM uncertainty was calculated as the maximum age uncertainty for each isotopic depth plus the difference between both isotopic ages. KR1 (entity_id = 511) data not available in original publication and assumed to be the same than other publications from same authors: iso_precision=0.1, date_type = MC-ICPMS, decay_constant = Cheng et al., 2013. This site's elevation has been extracted from the 'NOAA NGDC GLOBE topo Digital Elevation Model: http://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NGDC/.GLOBE/topo/"
234,"Vegetation: Dense. \\ St8-a (entity_id = 512) and St8-b (entity_id = 531) are two growth axes of the same stalagmite (St8; not in database)."
238,"MGY (entity_id = 519): calib_used = INTCAL98 assumed and not verified by original author."
240,"Vegetation: Tropical rainforest. \\ Corr_age in AN4 (entity_id = 521) and AN8 (entity_id = 522) are calibrated 14C ages (cal yr BP; 1950 CE) given as the mid-point of the calibrated age range. AN4 (entity_id = 521) and AN8 (entity_id = 522) were collected from two opposite corners of the same cave separated by c.25m. Date with lab_num=PRL-3229 (dating_id = 9624; depth_dating = 80) in AN4 (entity_id = 521) is not on central growth axes and was no used to create the age model."
242,"Geology: Micritic to fine dolomite, cave breccia and micritic and brecciaous micritic limestone."
244,"Vegetation: Temperate deciduous broadleaf trees. \\ Entities LH4, LH5 and LH9 (entity_id = 529, 530, 532): All three records completely supersede records in Dong et al. (2015) (10.1016/j.palaeo.2015.06.013) which are not in the SISAL database."
245,"NK-1305 (entity_id = 534): The USGS standard W-2 was used as the calibration standard for trace element measurements using the protocol of Eggins et al. (1997). XRD suggests mixture of aragonite and calcite of varying proportions."
250,"Laminae counting of WY27 (entity_id = 542) and WY33 (entity_id = 543) constrained by 210Pb dating (samples not in db)."
253,"According to publication, isotopic signal in Hq-1 (entity_id = 546) is exaggerated by kinetic fractionation: magnitude of change not reliable proxy, direction of change likely reliable. Although original publication states continuous growth of STM1 (entity_id = 547), we have identified a possible hiatus between depth_sample = 427.5mm (sample_id = 349662) and depth_sample = 428.5mm (sample_id = 349663)."
254,"The host rock of site PP29 (site_id = 254) is Table Mountain Sandstone, a Paleozoic quartzite. The carbonate sources are overlying Pleistocene calcretes and aeolianites. Land use: Mix of a golf course with natural shrubland vegetation and some built-up structures. The age models of 46745, 46746-a, 46747, 138862.1, 139962.2a, 142828, 46746-b, 138862.2b (entity_id = 549, 550, 551, 552, 553, 554, 555, 556) are based on ages not corrected for detrital thorium. The age model for 46747 (entity_id = 551) has been corrected from publication to use the correct depth_dating = 22mm for dating_id = 9929 (the depth used in the published age model was 21mm by mistake). PP29_composite (entity_id = 839) is a composite record of the entities 46745, 46746-a, 46746-b, 46747, 138862.1, 138862.2a, 138862.2b, 142828 (entity_id = 549, 550, 555, 551, 552, 553, 556, 554). The composite records was constructed by compiling all data into a single table and sorting them by their linear interpolation age followed by smoothing with a 3-point running mean."
255,"The Isochron age (dating_id = 9972) is used in the original OXCAL age model and its use is recommended to recalculate the age model. If original chemistry is required to recalculate corrected ages then the axis age (dating_id = 9968 at depth_dating = 813.7mm) is an acceptable alternative to the isochron age."
256,"Only U/Th dates with lab_num=LFG 2k (dating_id = 10003) and lab_num=LFG 2l (dating_id = 10004), were corrected because of their low 230/232Th ratios."
257,"Vegetation and land use: Tree growth in what appears to be a dried up river bed and evidence of farming in close proximity (ploughed field). \\ 2p (entity_id = 559): Original publication suggests a laminae age uncertainty of +/-2-3%."
258,"STAL-B7-7 (entity_id=560) has unclear U isotope notation in the original paper (dU). Because of this, U isotope data is missing in the dating table."
259,"Entity PA-8 (entity_id = 561): Some U-Th ages are outside the range of the isototpe sampling. The published age model was created using laminae data not provided here. NIST SRM 612 was used for calibration of the element concentrations. For most elements, the measured concentrations on NIST SRM 614 and USGS MACS-3 agree within 13% with the preferred values reported in the GeoReM database and the mean values of Jochum et al. (2012), respectively. For the QCM, relative standard deviations for the averaged element concentrations were typically <10%."
260,"The identification of calcite layers in CA (entity_id = 562) is approximate because a proper mineralogical study has not been done."
262,"Vegetation is mixed farmland, evergreen and deciduous forest."
266,"Land use: Former mine, shrubland, sparse vegetation. \\ Age used for DO 18 is an calculated age on the basis of three entities Vic-III-1, Vic-III-3, SR01t (entity_id = 697, 698, 699) covering Dansgaard/Oeschger event 18. This is then used for the age models."
268,"PN-95-5_2018 (entity_id = 714): Certified reference materials (NIST 610, NIST 612, NIST 614, MACS-1 and MACS-3) were used to make the concentration calibration curves. Comparison between reference values and measured values was satisfactory within 65–98%. For Ba, Sr and Mg, the reproducibility was higher than 76%."
269,"Vegetation: Shrubs and grasses. Land use: No use observed but possible grazing. \\ Gej-1 (entity_id = 573) Depth sample is the adjusted depth after lamina counting and U-Th -depth correspondance. The interpolated age is via layer counting and U-Th dating. The trace element sampling was performed on the upper half (19 cm) at 0.008mm depth spacing"
270,"Vegetation: Sparse alpine brushes. \\ Entity GZ-14-1 (entity_id = 574) is located at the back of the cave. Bedrock of site_id = 270 is Tertiary in age (period not specified). The 230Th_238U_activity and 234U_238U_activity ratio uncertainty are given with 1s."
271,"Vegetation: Open dry eucalyptus forests. \\ Author downsampled using running mean/average. This has been further downsampled by SISAL to give binned averages at stable isotope equivalent depths."
273,"Entity CRC-3 (entity_id = 577): Two different values of the atm ratio used to correct U/Th ages are provided in the original publication."
275,"Entity BG6LR (entity_id = 587): Sampling gap between sample_id 363143 and 363144 (depth = 254.5 and 764.5)."
276,"Vegetation: The majority of the catchment area is covered by forest and meadow. Cover type: The typical soil types in the area are Rendzina, and Cambisol-Terra. \\ The ages between detph_dating = 3.4mm and depth_dating = 19.65 mm in entity BNT-2 (entity_id = 613) were obtained by fitting the measured pMC values to the IntCal13 (Reimer et al., 2013) dataset. This approach defined the 5% dead carbon applied in deeper sections. See publication for details."
277,"PeruMIS6Composite (entity_id = 602) created from splicing three original records: P09-H1b (entity_id = 599), P10-H5 (entity_id = 600) and P10-H2 (entity_id = 601)."
278,"PP1 (entity_id = 613) data not available in original publication and assumed to be the same than other publications from same authors: iso_precision=0.1; decay_constant=Cheng et al., 2000. Mineralogy inferred from U content. Some U/Th dates were measured twice and the weighted average was used for the age model (samples with lab_num ending with '_wa). The individual U/Th dates were hence set to date_used = no."
279,"The host rock of Staircase (site_id = 279) is Table Mountain Sandstone, a Paleozoic quartzite. The carbonate sources are overlying Pleistocene calcretes and aeolianites. Land use: Golf course with natural Mediterranean shrubland vegetation (Fynbos) and some built-up structures. \\ The age models of 46322, 46330-a, 46330-b, 46861, 50100, 142819, 142820 (entity_id = 624, 625, 630, 626, 627, 628, 629) are based on ages not corrected for detrital thorium. \\ Staircase_composite (entity_id = **) is a composite record of the entities 46322, 46330-a, 46330-b, 46861, 50100, 142819 and 142820 (entity_id = 624, 625, 630, 626, 627, 628, 629) (all samples published in the same publication as this composite record). The composite record was constructed by compiling all data into a single table and sorting them by their linear interpolation age followed by smoothing with a 3-point running mean."
280,"Entity AH-1 (entity_id = 639): Original age model not in the database because of the existence of age inversions. The sisal_chronologies for entity_id = 639 were run manually."
281,"ISO-1 (dating_depth = 0mm, dating_id = 11393) from entity V1 (entity_id = 640) is derived from isochron subsamples A (dating_id = 11390), B (dating_id = 11391) and C (dating_id = 11392). ISO-2 (dating_depth = 314.5mm, dating_id = 11402) from entity V1 (entity_id = 640) is age derived from isochron subsamples 124 (dating_id = 11399), 125 (dating_id = 11400) and 126 (dating_id = 11401). ISO-1 (dating_id = 11393) and ISO-2 (dating_id = 11402) were corrected with the initial 230Th/232Th ratio derived from the isochrones. For the other non-isochron samples, the authors chose an initial 230Th/232Th ratio between both isochrones. Age model of entity V1 (entity_id = 640) constructed using a fifth-order polynomial visually weighted to follow the most robust age determinations."
282,"Entity WS-5d (entity_id = 691) does not have age model in original publication. The sisal_chronologies for entity_id = 691 were run manually."
286,"The elevation of the cave (85 masl) differs with the elevation of the lower gallery from which La Garma speleothems were collected (59 masl). The C14 data (not provided here) is available in Rudzka et al., 2011 (10.1016/j.gca.2011.05.022). GAR-01_drill (entity_id=650) and GAR-01_laser data (entity_id= 651 and 652) were obtained from GAR-01 stalagmite using a handheld conventional drill (drill) at ~2.2 mm spatial resolution and by laser ablation (LA-GC-IRMS) with a ~500 micron resolution. GAR-01_laser_d13C (entity_id=652) and GAR-01_laser_d18O (entity_id=651) series are treated separately in the database because there is a small non-constant offset in the corresponding age-depth models. Baldini et al., 2015 (10.1016/j.epsl.2015.03.015) used the StalAge Algorithm but the ages determined using COPRA are provided here. There is excellent agreement between the two age models over the Younger Dryas Interval (see Baldini et al., QSR, in review)."
287,"Vegetation: Rainforest dominated by podocarp and hardwood-broadleaf species, although has been subject to forest clearance over the last 100 years. Rock age: Tertiary. \\ Entity TF-2 (entity_id = 653): Dating information at 195mm (dating_id = 11564) is not published. Primary data sheet supplied to SISAL has TIMS ages at 33mm (dating_id = 11562) and 130mm (dating_id=11563) that appear 4 years younger than what is published in Williams et al., 2005. The latter have been used here."
